ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION
19,NUEVO LEON,2,5,6,3145
19,NUEVO LEON,2,5,6,3146
19,NUEVO LEON,2,5,6,3147
19,NUEVO LEON,2,7,6,117
19,NUEVO LEON,2,7,6,118
19,NUEVO LEON,2,7,6,119
19,NUEVO LEON,2,7,6,120
19,NUEVO LEON,2,7,6,121
19,NUEVO LEON,2,7,6,123
19,NUEVO LEON,2,7,6,125
19,NUEVO LEON,2,7,6,126
19,NUEVO LEON,2,7,6,127
19,NUEVO LEON,2,7,6,128
19,NUEVO LEON,2,7,6,2925
19,NUEVO LEON,2,7,6,2926
19,NUEVO LEON,2,7,6,2927
19,NUEVO LEON,2,16,6,66
19,NUEVO LEON,2,16,6,69
19,NUEVO LEON,2,16,6,70
19,NUEVO LEON,2,16,6,71
19,NUEVO LEON,2,16,6,72
19,NUEVO LEON,2,16,6,73
19,NUEVO LEON,2,16,6,74
19,NUEVO LEON,2,16,6,75
19,NUEVO LEON,2,16,6,76
19,NUEVO LEON,2,16,6,78
19,NUEVO LEON,2,16,6,79
19,NUEVO LEON,2,16,6,80
19,NUEVO LEON,2,16,6,81
19,NUEVO LEON,2,16,6,82
19,NUEVO LEON,2,16,6,83
19,NUEVO LEON,2,16,6,85
19,NUEVO LEON,2,16,6,86
19,NUEVO LEON,2,16,6,87
19,NUEVO LEON,2,16,6,88
19,NUEVO LEON,2,16,6,89
19,NUEVO LEON,2,16,6,90
19,NUEVO LEON,2,16,6,91
19,NUEVO LEON,2,16,6,92
19,NUEVO LEON,2,16,6,93
19,NUEVO LEON,2,16,6,94
19,NUEVO LEON,2,16,6,95
19,NUEVO LEON,2,16,6,96
19,NUEVO LEON,2,16,6,97
19,NUEVO LEON,2,16,6,98
19,NUEVO LEON,2,16,6,99
19,NUEVO LEON,2,16,6,100
19,NUEVO LEON,2,16,6,103
19,NUEVO LEON,2,16,6,104
19,NUEVO LEON,2,16,6,2166
19,NUEVO LEON,2,16,6,2167
19,NUEVO LEON,2,16,6,2168
19,NUEVO LEON,2,16,6,2169
19,NUEVO LEON,2,16,6,2170
19,NUEVO LEON,2,16,6,2171
19,NUEVO LEON,2,16,6,2172
19,NUEVO LEON,2,16,6,2173
19,NUEVO LEON,2,16,6,2174
19,NUEVO LEON,2,16,6,2175
19,NUEVO LEON,2,16,6,2176
19,NUEVO LEON,2,16,6,2177
19,NUEVO LEON,2,16,6,2178
19,NUEVO LEON,2,16,6,2179
19,NUEVO LEON,2,16,6,2180
19,NUEVO LEON,2,16,6,2181
19,NUEVO LEON,2,16,6,2182
19,NUEVO LEON,2,16,6,2183
19,NUEVO LEON,2,16,6,2184
19,NUEVO LEON,2,16,6,2185
19,NUEVO LEON,2,16,6,2186
19,NUEVO LEON,2,16,6,2187
19,NUEVO LEON,2,16,6,2188
19,NUEVO LEON,2,16,6,2189
19,NUEVO LEON,2,16,6,2190
19,NUEVO LEON,2,16,6,2191
19,NUEVO LEON,2,16,6,2192
19,NUEVO LEON,2,16,6,2193
19,NUEVO LEON,2,16,6,2194
19,NUEVO LEON,2,16,6,2195
19,NUEVO LEON,2,16,6,2416
19,NUEVO LEON,2,16,6,2417
19,NUEVO LEON,2,16,6,2418
19,NUEVO LEON,2,16,6,2419
19,NUEVO LEON,2,16,6,2420
19,NUEVO LEON,2,16,6,2421
19,NUEVO LEON,2,16,6,2422
19,NUEVO LEON,2,16,6,2423
19,NUEVO LEON,2,16,6,2424
19,NUEVO LEON,2,16,6,2425
19,NUEVO LEON,2,16,6,2426
19,NUEVO LEON,2,16,6,2427
19,NUEVO LEON,2,16,6,2428
19,NUEVO LEON,2,16,6,2429
19,NUEVO LEON,2,16,6,2430
19,NUEVO LEON,2,16,6,2431
19,NUEVO LEON,2,16,6,2432
19,NUEVO LEON,2,16,6,2433
19,NUEVO LEON,2,16,6,2434
19,NUEVO LEON,2,16,6,2435
19,NUEVO LEON,2,16,6,2436
19,NUEVO LEON,2,16,6,2491
19,NUEVO LEON,2,16,6,2492
19,NUEVO LEON,2,16,6,2493
19,NUEVO LEON,2,16,6,2510
